Pity,     Time(s)   SKIP
275,      53.51079619999996
276,      58.28046139999998
277,      53.742025999999896
278,      53.18958120000002
279,      53.33042189999992
280,      53.76339729999995
281,      53.742886
282,      54.167023499999914
283,      59.237737400000015
284,      55.648670700000025
285,      56.21923960000004
286,      75.0005745
287,      73.5330381
288,      74.9496647
289,      76.09658480000002
290,      83.55002350000001
291,      74.35758820000001
292,      59.02301300000005
293,      61.456668899999954
294,      76.84084510000002
295,      78.55944820000002
296,      102.31407300000001
297,      86.45486589999996
298,      59.46871939999994
299,      78.72425759999999
300,      94.45213239999998
301,      104.80639360000009
302,      102.75653620000003
303,      98.58432650000009
304,      100.54565739999998
305,      104.40267969999991
306,      88.03631010000004
307,      62.901043699999946
308,      64.24201270000003
309,      62.87603780000018
310,      64.22335160000011
311,      63.94810159999997
312,      63.59664930000008
313,      64.82307420000006
314,      72.54698199999984
315,      101.65608509999993
316,      80.5690426000001
317,      67.34961060000023
318,      83.87024060000022
319,      88.30755520000002
320,      90.5724839999998
321,      93.55161670000007
322,      90.44683050000003
323,      93.34594770000012
324,      69.8662276
325,      70.05032309999979
326,      93.59142320000001
327,      79.31615600000032
328,      95.89733419999993
329,      93.41816059999974
330,      77.0462478
331,      75.07821450000002
332,      75.112022
333,      70.67906669999999
334,      63.608011999999974
335,      76.07585749999998
336,      76.05017929999997
337,      77.35769899999991
338,      69.09687959999997
339,      76.27387820000001
340,      76.1011459
341,      70.60643219999997
342,      67.99682860000007
343,      72.87655050000012
344,      66.45170340000004
345,      72.17410579999978
346,      89.92917740000007
347,      77.81036900000004
348,      68.54549330000009
349,      76.5590960999998
350,      75.92785049999998
351,      68.13449609999998
352,      68.31690869999989
353,      77.65012779999984
354,      80.79860410000015
355,      77.71063909999998
356,      76
357,      75.58322070000031
358,      74.90075320000051
359,      98.23600160000024
360,      82.61251709999942
361,      86.73533510000016
362,      70.13239499999999
363,      69.65175570000001
364,      70.6388024
365,      78.36324289999999
366,      105.97228090000004
367,      77.85279890000004
368,      72.6590845
369,      70.44472919999998
370,      69.55857129999993
371,      69.88982820000001
372,      70.53561990000003
373,      70.71496139999999
374,      70.6389574000001
375,      71.47935310000003
376,      71.67988050000008
377,      71.49090609999985
378,      71.09128720000012
379,      71.52346659999989
380,      71.35936240000001
381,      73.23330529999998
382,      73.47264790000008
383,      72.8649961000001
384,      73.94732560000011
385,      75.29962249999994
386,      74.27620699999989
387,      74.09517270000015
388,      75.30131959999994
389,      74.77059250000002
390,      76.26307619999989
391,      75.66537759999983
392,      74.49602159999995
393,      73.12120270000014
394,      75.63373879999972
395,      74.80903560000024
396,      74.46800660000008
397,      75.47771289999991
398,      76.5989254000001
399,      75.72183049999967
400,      75.90966040000012
401,      75.0814476999999
402,      75.17683100000022
403,      76.51511379999965
404,      76.78131979999989
405,      77.34909370000014
406,      76.49562470000001
407,      77.71352200000001
408,      76.76647619999994
409,      77.60876640000015
410,      78.65876779999962
411,      77.15404900000021
412,      78.10631460000013
413,      79.66773609999973
414,      78.47923780000019
415,      79.2791701000001
416,      78.88501280000037
417,      80.34320119999938
418,      79.25317080000059
419,      79.30562269999973
420,      80.02082930000051
421,      81.0926872
422,      81.2891838000005
423,      80.40426989999924
424,      81.20183100000031
425,      81.04537040000014
426,      80.75918080000065
427,      81.58053720000044
428,      80.33138070000041
429,      80.66108750000058
430,      82.24572059999991
431,      91.37743430000046
432,      88.8318407
433,      107.0854119
434,      108.66525330000002
435,      106.5067482
436,      137.88988200000006
437,      132.92196839999997
438,      109.1457294999999
439,      90.49956399999996
440,      92.42501989999994
441,      92.4217637999999
442,      92.6427893
