Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
             203,    0.0000,   14.5250,   53.6630,   26.1990,    4.9450,    0.6120,    0.0460,    0.0100
             204,    0.0000,   14.2900,   53.1640,   26.7470,    5.1060,    0.6290,    0.0610,    0.0030
             205,    0.0000,   14.0190,   53.0960,   26.9610,    5.2670,    0.5960,    0.0600,    0.0010
             206,    0.0000,   13.8820,   52.6530,   27.2870,    5.4410,    0.6770,    0.0550,    0.0050
             207,    0.0000,   13.7290,   52.7540,   27.2200,    5.5310,    0.7000,    0.0580,    0.0080
             208,    0.0000,   13.4470,   52.1780,   27.7810,    5.8070,    0.7170,    0.0640,    0.0060
             209,    0.0000,   13.2080,   52.1840,   27.9610,    5.8580,    0.7120,    0.0700,    0.0070
             210,    0.0000,   13.1310,   51.9080,   28.2710,    5.8960,    0.7370,    0.0520,    0.0050
             211,    0.0000,   12.9810,   51.3930,   28.5740,    6.1620,    0.7980,    0.0870,    0.0050
             212,    0.0000,   12.7420,   51.3630,   28.7700,    6.2930,    0.7580,    0.0690,    0.0050
             213,    0.0000,   12.3520,   51.2490,   28.9660,    6.5520,    0.8020,    0.0730,    0.0060
             214,    0.0000,   12.3740,   50.8160,   29.2370,    6.6340,    0.8490,    0.0890,    0.0010
             215,    0.0000,   12.2290,   50.6640,   29.4690,    6.6830,    0.8780,    0.0710,    0.0060
             216,    0.0000,   11.9640,   50.5100,   29.6780,    6.8750,    0.8790,    0.0880,    0.0060
             217,    0.0000,   11.6520,   50.5300,   29.8420,    6.9330,    0.9330,    0.0960,    0.0140
             218,    0.0000,   11.7080,   49.5630,   30.2730,    7.3810,    0.9820,    0.0850,    0.0080
             219,    0.0000,   11.3630,   49.9280,   30.3400,    7.2750,    0.9880,    0.0970,    0.0090
             220,    0.0000,   11.2340,   49.1490,   31.0330,    7.5010,    0.9650,    0.1060,    0.0120
             221,    0.0000,   11.0820,   49.3400,   30.8590,    7.5480,    1.0810,    0.0850,    0.0050
             222,    0.0000,   10.8750,   48.9390,   31.2270,    7.7390,    1.1130,    0.1040,    0.0030
             223,    0.0000,   10.7670,   48.7480,   31.3090,    7.9220,    1.1420,    0.1030,    0.0090
             224,    0.0000,   10.5110,   48.6560,   31.4060,    8.1350,    1.1320,    0.1440,    0.0160
             225,    0.0000,   10.4670,   48.2790,   31.6000,    8.3070,    1.2130,    0.1160,    0.0180
             226,    0.0000,   10.3320,   47.6030,   32.2300,    8.4310,    1.2760,    0.1160,    0.0120
             227,    0.0000,   10.1150,   47.6890,   32.3430,    8.5450,    1.1750,    0.1220,    0.0110
             228,    0.0000,   10.0270,   47.2760,   32.5150,    8.7240,    1.3030,    0.1400,    0.0150
             229,    0.0000,    9.7300,   47.5950,   32.3290,    8.8790,    1.3020,    0.1550,    0.0100
             230,    0.0000,    9.5860,   47.0110,   32.8310,    9.0240,    1.3800,    0.1560,    0.0120
             231,    0.0000,    9.5100,   46.5110,   33.0260,    9.3230,    1.4450,    0.1610,    0.0240
             232,    0.0000,    9.4680,   46.3170,   33.1530,    9.4240,    1.4640,    0.1560,    0.0180
             233,    0.0000,    9.2940,   46.1820,   33.3980,    9.4180,    1.5470,    0.1500,    0.0110
             234,    0.0000,    8.9800,   45.8870,   33.8170,    9.6470,    1.5040,    0.1450,    0.0200
             235,    0.0000,    8.7210,   45.6200,   34.0170,    9.8400,    1.5820,    0.1980,    0.0220
             236,    0.0000,    8.6480,   45.2770,   34.2040,   10.0170,    1.6570,    0.1800,    0.0170
             237,    0.0000,    8.2840,   45.1850,   34.4430,   10.2080,    1.6770,    0.1780,    0.0250
             238,    0.0000,    8.4080,   44.8090,   34.5460,   10.3500,    1.6900,    0.1780,    0.0190
             239,    0.0000,    8.2150,   44.5050,   34.8550,   10.4430,    1.7390,    0.2230,    0.0200
             240,    0.0000,    8.1650,   43.9990,   35.1630,   10.6510,    1.7890,    0.2120,    0.0210
             241,    0.0000,    7.8080,   43.9400,   35.2790,   10.8610,    1.8520,    0.2310,    0.0290
             242,    0.0000,    7.4780,   44.0580,   35.2860,   11.0180,    1.9050,    0.2290,    0.0260
             243,    0.0000,    7.5440,   43.4830,   35.5510,   11.2000,    1.9550,    0.2480,    0.0190
             244,    0.0000,    7.3970,   43.0950,   35.9160,   11.3740,    1.9680,    0.2210,    0.0290
             245,    0.0000,    7.0740,   42.9240,   35.9460,   11.8010,    1.9840,    0.2470,    0.0240
             246,    0.0000,    6.8920,   42.3860,   36.5270,   11.8040,    2.1190,    0.2380,    0.0340
             247,    0.0000,    6.8910,   42.2660,   36.5020,   11.9450,    2.1010,    0.2640,    0.0310
             248,    0.0000,    6.7720,   41.7560,   36.7090,   12.2570,    2.1990,    0.2750,    0.0320
             249,    0.0000,    6.4010,   41.5570,   37.0860,   12.4480,    2.2190,    0.2650,    0.0240
             250,    0.0000,    6.1750,   41.2070,   37.3060,   12.7070,    2.2930,    0.2850,    0.0270
             251,    0.0000,    6.0730,   40.9950,   37.3590,   12.8720,    2.3800,    0.2950,    0.0260
             252,    0.0000,    5.6090,   40.3210,   38.0860,   13.1910,    2.4610,    0.3070,    0.0250
             253,    0.0000,    5.3860,   39.9850,   38.5500,   13.2640,    2.4610,    0.3210,    0.0330
             254,    0.0000,    4.8270,   39.6630,   39.0140,   13.6420,    2.5150,    0.3010,    0.0380
             255,    0.0000,    4.4850,   38.9730,   39.6650,   13.8600,    2.6170,    0.3600,    0.0400
             256,    0.0000,    3.9380,   38.5160,   40.3000,   14.2390,    2.6600,    0.3210,    0.0260
             257,    0.0000,    3.3340,   37.9250,   40.9670,   14.5640,    2.8000,    0.3760,    0.0340
             258,    0.0000,    2.8750,   37.4260,   41.5890,   14.9090,    2.7760,    0.3810,    0.0440
             259,    0.0000,    2.4230,   36.6370,   42.4480,   15.3010,    2.7730,    0.3810,    0.0370
             260,    0.0000,    1.9900,   36.0000,   43.0980,   15.4550,    3.0100,    0.4020,    0.0450
             261,    0.0000,    1.4770,   35.5780,   43.3400,   16.0070,    3.1380,    0.4180,    0.0420
             262,    0.0000,    1.1700,   35.0620,   43.9830,   16.1270,    3.1870,    0.4250,    0.0460
             263,    0.0000,    0.8650,   34.6700,   44.2780,   16.4980,    3.2080,    0.4290,    0.0520
             264,    0.0000,    0.6260,   34.2300,   44.5950,   16.7320,    3.2890,    0.4690,    0.0590
             265,    0.0000,    0.4450,   33.8080,   44.7420,   17.1950,    3.2800,    0.4710,    0.0590
             266,    0.0000,    0.3200,   33.3440,   45.0230,   17.3090,    3.4730,    0.4690,    0.0620
             267,    0.0000,    0.1950,   32.7320,   45.2580,   17.7140,    3.5420,    0.5060,    0.0530
             268,    0.0000,    0.1270,   32.2750,   45.5260,   17.8620,    3.6470,    0.5040,    0.0590
             269,    0.0000,    0.0740,   32.0490,   45.0820,   18.4490,    3.7530,    0.5250,    0.0680
             270,    0.0000,    0.0620,   31.9110,   45.0550,   18.5000,    3.8850,    0.5270,    0.0600
             271,    0.0000,    0.0500,   31.2120,   45.4780,   18.8900,    3.7860,    0.5110,    0.0730
