Trials = 100000   SKIP
Wishes Available,         X,        C0,        C1,        C2,        C3,        C4,        C5,        C6   SKIP
              88,   41.3410,   53.3160,    5.0280,    0.2970,    0.0170,    0.0010,    0.0000,     0.0000
              89,   41.1610,   53.2810,    5.2250,    0.3200,    0.0120,    0.0010,    0.0000,     0.0000
              90,   40.6660,   53.3970,    5.5640,    0.3550,    0.0160,    0.0020,    0.0000,     0.0000
              91,   39.9440,   53.9470,    5.7450,    0.3510,    0.0130,    0.0000,    0.0000,     0.0000
              92,   39.7830,   53.9770,    5.8410,    0.3750,    0.0230,    0.0010,    0.0000,     0.0000
              93,   39.6140,   53.8990,    6.1080,    0.3520,    0.0260,    0.0010,    0.0000,     0.0000
              94,   38.7300,   54.1850,    6.6380,    0.4100,    0.0360,    0.0010,    0.0000,     0.0000
              95,   38.3780,   54.3660,    6.7370,    0.4890,    0.0280,    0.0020,    0.0000,     0.0000
              96,   38.2170,   54.4200,    6.8920,    0.4400,    0.0300,    0.0010,    0.0000,     0.0000
              97,   37.7760,   54.5320,    7.2060,    0.4620,    0.0230,    0.0010,    0.0000,     0.0000
              98,   37.1780,   54.6790,    7.5850,    0.5330,    0.0230,    0.0020,    0.0000,     0.0000
              99,   37.1790,   54.5930,    7.6570,    0.5390,    0.0300,    0.0020,    0.0000,     0.0000
             100,   36.5700,   54.7970,    8.0280,    0.5710,    0.0330,    0.0010,    0.0000,     0.0000
             101,   35.9740,   55.1910,    8.1680,    0.6340,    0.0300,    0.0030,    0.0000,     0.0000
             102,   35.8490,   54.9700,    8.5000,    0.6360,    0.0400,    0.0050,    0.0000,     0.0000
             103,   35.2220,   55.2510,    8.8220,    0.6680,    0.0370,    0.0000,    0.0000,     0.0000
             104,   35.1040,   55.1150,    8.9880,    0.7410,    0.0500,    0.0020,    0.0000,     0.0000
             105,   34.8000,   55.0780,    9.3370,    0.7420,    0.0420,    0.0010,    0.0000,     0.0000
             106,   34.3900,   55.2230,    9.5530,    0.7710,    0.0590,    0.0040,    0.0000,     0.0000
             107,   33.8390,   55.4870,    9.7710,    0.8480,    0.0520,    0.0030,    0.0000,     0.0000
             108,   33.7100,   55.1220,   10.2480,    0.8510,    0.0680,    0.0010,    0.0000,     0.0000
             109,   33.3390,   55.3810,   10.3060,    0.9260,    0.0450,    0.0030,    0.0000,     0.0000
             110,   33.0720,   55.3150,   10.6350,    0.9120,    0.0630,    0.0030,    0.0000,     0.0000
             111,   32.6250,   55.3660,   11.0040,    0.9350,    0.0680,    0.0020,    0.0000,     0.0000
             112,   32.3540,   55.4860,   11.1120,    0.9810,    0.0620,    0.0050,    0.0000,     0.0000
             113,   32.0030,   55.5350,   11.3590,    1.0370,    0.0620,    0.0040,    0.0000,     0.0000
             114,   31.4790,   55.8140,   11.4890,    1.1410,    0.0750,    0.0020,    0.0000,     0.0000
             115,   31.2070,   55.9690,   11.6070,    1.1190,    0.0900,    0.0070,    0.0010,     0.0000
             116,   30.9810,   55.5310,   12.1660,    1.2370,    0.0790,    0.0040,    0.0020,     0.0000
             117,   30.6400,   55.7280,   12.3540,    1.1870,    0.0850,    0.0060,    0.0000,     0.0000
             118,   30.4230,   55.6770,   12.5070,    1.2890,    0.0980,    0.0050,    0.0010,     0.0000
             119,   29.6920,   55.9080,   13.0090,    1.2850,    0.1020,    0.0040,    0.0000,     0.0000
             120,   29.6540,   55.7140,   13.1560,    1.3810,    0.0870,    0.0070,    0.0010,     0.0000
             121,   29.1330,   55.9430,   13.3630,    1.4550,    0.1010,    0.0050,    0.0000,     0.0000
             122,   28.8440,   55.8790,   13.6550,    1.5230,    0.0880,    0.0100,    0.0010,     0.0000
             123,   28.7500,   55.7480,   13.9230,    1.4590,    0.1120,    0.0060,    0.0020,     0.0000
             124,   28.1690,   55.9820,   14.1050,    1.6170,    0.1160,    0.0100,    0.0010,     0.0000
             125,   27.8070,   55.7960,   14.5950,    1.6770,    0.1190,    0.0060,    0.0000,     0.0000
             126,   27.5610,   56.1030,   14.5470,    1.6770,    0.1050,    0.0060,    0.0010,     0.0000
